INSTNM,CITY,STABBR,ZIP,INSTURL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL
D'Mart Institute,Barranquitas,PR,794,www.dmartpr.com,18.18415,-66.295454,NULL,NULL
Automeca Technical College-Aguadilla,Aguadilla,PR,605,www.automeca.com,18.444126,-67.141456,NULL,NULL
Fortis Institute-Cookeville,Cookeville,TN,38501-4305,www.fortis.edu,36.143182,-85.478651,NULL,NULL
North Central Institute,Clarksville,TN,37042,www.nci.edu,36.627878,-87.446724,NULL,NULL
Pipo Academy of Hair Design,El Paso,TX,79903,www.pipoacademy.com/index.html,31.784465,-106.459721,NULL,NULL
Tint School of Makeup and Cosmetology-Dallas,Dallas,TX,75229-3734,www.tintschoolofmakeupandcosmetology.com,32.897238,-96.871882,NULL,NULL
United Technical Center,Clarksburg,WV,26301-6313,www.harcoboe.com/utc/faculty/practicalnursing.cfm,39.310658,-80.358395,0.76,NULL
Charles H McCann Technical School,North Adams,MA,01247-3999,www.mccanntech.org,42.665155,-73.105953,NULL,NULL
Ailano School of Cosmetology,Brockton,MA,02301-5734,www.theailanoschool.com,42.071117,-71.043484,NULL,NULL
Carsten Institute of Cosmetology,Tempe,AZ,85282,carsten.edu,33.391423,-111.926059,NULL,NULL
Central California School of Continuing Education,San Luis Obispo,CA,93401,ccsce.org,35.263725,-120.644796,NULL,NULL
Mercy Hospital School of Practical Nursing-Plantation General Hospital,Miami,FL,33133,mercymiami.com/professionals/school-of-practical-nursing,25.743109,-80.21658,0.4,NULL
Marion Technical College,Ocala,FL,34471-3172,www.MarionTC.edu,29.178271,-82.147877,NULL,NULL
Rivertown School of Beauty Barber Skin Care and Nails,Columbus,GA,31904,rivertownschoolofbeauty.com,32.509451,-84.970785,NULL,NULL
Atlanta Institute of Music and Media,Duluth,GA,30096,aimm.edu,33.960266,-84.106629,0.7075,NULL
Illinois Media School,Lombard,IL,60148,www.beonair.com/lombard,41.844813,-88.016953,NULL,NULL
St Louis Hair Academy,Saint Louis,MO,63107-1737,www.stlouishairacademy.com/,38.66547,-90.215765,NULL,NULL
New Dimensions School of Hair Design,Joplin,MO,64801-5017,newdimensionsschoolofhairdesign.com,37.083054,-94.501914,NULL,NULL
Adirondack Beauty School,Glens Falls,NY,12801-0000,www.adirondackbeautyschool.org,43.317954,-73.630352,NULL,NULL
Forbes Road Career and Technology Center,Monroeville,PA,15146,www.forbesroad.com,40.451712,-79.752401,NULL,NULL
Jna Institute of Culinary Arts,Philadelphia,PA,19146,www.culinaryarts.edu,39.935232,-75.167678,NULL,NULL
Cortiva Institute-Seattle,Seattle,WA,98109,www.cortiva.com/seattle,47.622787,-122.332042,NULL,NULL
Putnam Career and Technical Center,Eleanor,WV,25070-0640,www.pctc.edu/,38.53477,-81.92453,NULL,NULL
Argosy University-Washington DC,Arlington,VA,22209,www.argosy.edu/washingtondc,38.894272,-77.075927,NULL,NULL
